Intended Graduate Major,VR: 130 - 134,VR: 135 - 139,VR: 140 - 144,VR: 145 - 149,VR: 150 - 154,VR: 155 - 159,VR: 160 - 164,VR: 165 - 169,VR: 170,VR: N,VR: Mean,VR: SD,QR: 130 - 134,QR: 135 - 139,QR: 140 - 144,QR: 145 - 149,QR: 150 - 154,QR: 155 - 159,QR: 160 - 164,QR: 165 - 169,QR: 170,QR: N,QR: Mean,QR: SD,AW: 0,AW: 0.5 & 1,AW: 1.5 & 2,AW: 2.5 & 3,AW: 3.5 & 4,AW: 4.5 & 5,AW: 5.5 & 6,AW: N,AW: Mean,AW: SD
01: LIFE SCIENCES,1.4,4.7,13.5,27.2,27.2,17.3,6.8,1.9,0.2,143002.0,150.0,7.0,1.1,5.4,15.7,27.7,26.5,14.1,5.8,3.1,0.7,143057.0,150.0,7.0,0.0,0.2,2.6,21.9,51.5,22.0,1.8,142830.0,3.8,0.8
"02: Agriculture, Natural Res. & Conservation",1.7,5.4,13.6,23.4,25.9,18.0,8.8,2.9,0.2,5538.0,151.0,7.0,1.1,4.6,12.8,22.5,22.7,15.2,10.2,8.6,2.2,5541.0,152.0,9.0,0.1,0.5,5.2,31.4,45.4,16.2,1.2,5526.0,3.6,0.8
03: Biological & Biomedical Sciences,1.2,3.6,9.4,20.5,26.3,22.2,12.2,4.2,0.5,29806.0,152.0,7.0,0.7,3.0,9.7,20.6,25.4,19.0,11.2,8.4,2.0,29823.0,153.0,8.0,0.0,0.3,2.5,20.8,48.5,25.1,2.9,29800.0,3.8,0.8
04: Health & Medical Sciences,1.4,5.0,14.6,29.2,27.5,15.8,5.2,1.2,0.1,107658.0,150.0,7.0,1.2,6.1,17.5,29.9,26.9,12.7,4.0,1.4,0.2,107693.0,149.0,7.0,0.0,0.2,2.5,21.7,52.6,21.4,1.6,107504.0,3.8,0.7
05: PHYSICAL SCIENCES,2.4,5.5,9.6,15.3,28.6,21.1,12.6,4.4,0.5,121962.0,152.0,8.0,0.2,0.7,1.8,4.1,8.1,13.9,24.6,35.6,11.0,122037.0,162.0,7.0,0.0,0.6,6.7,39.4,39.5,12.1,1.6,122012.0,3.4,0.8
06: Chemistry,2.1,4.4,8.7,15.9,23.2,23.5,15.3,6.2,0.8,4460.0,153.0,8.0,0.2,1.2,4.6,10.7,19.8,22.1,18.6,18.1,4.8,4466.0,157.0,8.0,0.0,0.5,3.1,24.8,42.3,25.8,3.5,4460.0,3.8,0.9
07: Computer & Information Sciences,2.6,6.0,10.2,16.1,30.8,20.4,10.4,3.1,0.3,92083.0,151.0,8.0,0.2,0.7,1.7,3.6,7.3,13.4,26.3,36.7,10.1,92127.0,162.0,7.0,0.0,0.8,8.0,43.5,37.9,8.8,1.0,92155.0,3.3,0.8
"08: Earth, Atmospheric, & Marine Sciences",1.1,3.2,6.6,14.7,23.8,25.6,17.8,6.4,0.9,3777.0,154.0,8.0,0.4,2.4,6.7,17.6,25.1,20.9,12.9,10.8,3.3,3782.0,155.0,8.0,0.0,0.2,2.3,20.0,45.9,27.9,3.7,3777.0,3.9,0.8
09: Mathematical Sciences,1.9,4.7,8.1,11.9,20.8,21.9,19.8,9.7,1.2,16510.0,154.0,9.0,0.1,0.2,0.7,1.8,5.0,11.0,20.1,41.6,19.5,16517.0,164.0,6.0,0.0,0.3,2.9,29.5,44.9,19.2,3.3,16493.0,3.7,0.8
10: Physics & Astronomy,1.2,2.6,5.7,12.0,20.3,26.6,21.4,9.1,1.2,5017.0,155.0,8.0,0.1,0.3,1.0,4.5,10.4,18.6,23.7,30.1,11.3,5030.0,162.0,7.0,0.0,0.4,2.5,23.4,43.9,26.2,3.7,5012.0,3.8,0.8
